Rank,Account,Character,Class,Level,Experience,Dead
1,nickexile11,ㆍastherushcomesㆍ,Necromancer,100,4250334444,Dead
2,GucciPradas,DeleteQuin,Necromancer,100,4250334444,Dead
3,CARNDARAK,cArnHelixItIsLOL,Slayer,100,4250334444,Dead
4,SteveAustin,KINGDONALDㆍFAN,Necromancer,99,4012679197,Dead
5,phazeplays,PhazeGrayfog,Assassin,99,3940188150,
6,Arcturus,Archturius_Delirium,Saboteur,98,3851292913,
7,wongbongchoii,justmakefunleagueidiot,Saboteur,98,3840853242,Dead
8,Machetelol,NDLSSALLBRAKESNOGAS,Assassin,98,3838188522,Dead
9,Pxl555,MinimeowEHEHEHEH,Saboteur,98,3831268337,Dead
10,Dithrich,Herthir,Inquisitor,98,3745973749,
11,Deedledo,Deedlirium_,Gladiator,98,3735029835,
12,Recrema,_로그라이크,Hierophant,98,3719113055,Dead
13,LivedMan,pepwwwwwwwwwwwwwwwwwwww,Necromancer,98,3702089523,
14,Nonnikrummi,Nebedeli,Ascendant,97,3604243222,
15,banshoon,ME_BOBO_DOWN,Pathfinder,97,3594489200,
16,MatZimoto,MatZ_last_try,Ascendant,97,3569381388,
17,ArtCrusade,HereWeRIPAganeTwo,Hierophant,97,3515733880,
18,RagnarokAgent,RagnarokRogueArtificer,Trickster,97,3511770770,
19,GucciPradas,GucciJuiced,Inquisitor,97,3498185963,Dead
20,LivedMan,pepwwwwwwwwwwwwwwwwwww,Chieftain,97,3460951756,
21,SteveAustin,MENTALㆍILLNESSㆍGALEMOJI,Elementalist,97,3458112997,
22,s3pulba,OffmetaDemi,Elementalist,97,3455401104,Dead
23,Takes_GGG,TakesDeli_GGG,Occultist,97,3449724478,
24,0000,Elindyne,Pathfinder,97,3410217422,Dead
25,gjt151,qSenator_MMMM,Trickster,97,3401393654,
26,Dale_Gribble,DaleGrible_StillDelirus,Saboteur,97,3365867237,
27,Barsilla,RIPPED_CONDOM_DULULU,Saboteur,97,3364828162,Dead
28,backabacka,Backaasbdas,Saboteur,97,3364828162,Dead
29,islending,JellyHashtagCleverName,Champion,96,3306717661,
30,HowRoLaXComesHere,RolaxYep,Champion,96,3284073630,
31,Karamon10,KaraBlueSeeedshaHAA,Champion,96,3262544029,Dead
32,Obumbro,Superbeast,Assassin,96,3228976367,
33,zmai,Zmailerium,Guardian,96,3215608635,
34,LivedMan,pepwwwwwwwwwwwwwwwwww,Raider,96,3214160870,
35,pillebrille,pille_BLASTED,Occultist,96,3170025294,
36,janek23q,Jon_UnsinkableVI,Berserker,96,3164014065,Dead
37,Maximus2905,LuciousRagingSpirits,Necromancer,96,3149506845,
38,gjt151,qSenator_SSSS,Trickster,96,3138964020,
39,alvin0phen,shadow_is_wise,Trickster,96,3136351265,
40,tgtro11,deli_starsmash,Inquisitor,96,3130201098,
41,wongbongchoii,RIPformyempower,Gladiator,96,3127833433,Dead
42,TheDireDream,Dire___________________,Chieftain,96,3112435245,Dead
43,s3pulba,RaiderGoesDelirious,Raider,96,3111280300,Dead
44,TimeMaster1,DeliOneManArmy,Slayer,96,3111280300,Dead
45,NT_guilty,whatadogshitwillbe,Deadeye,96,3111280300,Dead
46,Subtractem,DoesThisWorkHere,Occultist,95,3107158770,
47,Rihzel,HAHAHAHEHEHEHEHEHIHIHIH,Champion,95,3096139511,
48,kvarg,sdfgagfaafd,Juggernaut,95,3003063070,
49,allahkahabah,sdasdarqwrqweraczx,Juggernaut,95,2999915446,Dead
50,banangurka1,DeleriumBanan,Guardian,95,2997876296,
51,둡선생,붕의일족첫째저붕쿤,Juggernaut,95,2991045834,Dead
52,guzzly99,jeifejfhef,Assassin,95,2981142532,Dead
53,wastes,CHASMS_JOLLY,Trickster,95,2949733585,
54,ThisIsNova,OneLastTimeRightHere,Elementalist,95,2934031074,
55,Sensis,SensisNowhere,Gladiator,95,2921635296,
56,Slash1495,NEWYEARBATCHEST,Raider,95,2914244828,Dead
57,vcrasch,QUEEN___suzy,Inquisitor,95,2913063678,
58,Khob,KhobDelirium,Ascendant,95,2912696822,
59,donbigz,fnghkmyfutlktf,Berserker,95,2908566072,Dead
60,Lobsterkite,KitingDeliriumBetter,Slayer,95,2899881513,Dead
61,Nayr_Games,SponsoredBy_DudeWipes,Necromancer,95,2894403081,Dead
62,Miz4,MzEnDeliten,Chieftain,95,2892285143,
