Rank,Account,Character,Class,Level,Experience,Dead
1,TooLegitToQuit,ToucanMiningOpsLLC,Champion,99,3932831405,
2,ryzenier,ㅏtwitchtvㆍhsdffㅓ,Gladiator,99,3932818530,Dead
3,marvyu,PadoruApe,Saboteur,99,3932818530,Dead
4,Aveen_,AvnDugDig,Hierophant,98,3761329358,Dead
5,evanloaf,DelveIsNotPoggies,Occultist,98,3725527527,
6,Moonlight666X,MidnightDigs,Pathfinder,98,3722649719,
7,Miz4,MzEnDDDD,Necromancer,98,3648208352,Dead
8,shadowpye,adsfdfh,Necromancer,98,3638186694,Dead
9,Storunas,Shiaxu_HardAndDeep,Gladiator,98,3638186694,Dead
10,Glaek,Glaekenn,Champion,98,3638186694,Dead
11,HooWoo,HoowooㆍHyperCumby,Occultist,98,3638186694,Dead
12,Stalkis,Strand_HowDoIleaveDelve,Berserker,98,3638186694,Dead
13,shooster88,AcherDelveTwo,Occultist,98,3638186694,Dead
14,BenQ1338,benqDeeperthanyourmom,Occultist,97,3575171597,Dead
15,S1meon_ttv,SimeonㆍFuckCorpseRushin,Pathfinder,97,3542310706,Dead
16,LaserPanther,PostmatureEjaculation,Juggernaut,97,3536909901,
17,SoluR,LiIBird,Occultist,97,3529475034,Dead
18,nikech364,asdaweqewq,Occultist,97,3529331600,
19,VaDe255,SharpVaDe,Occultist,97,3508363678,Dead
20,PAAAAAIN,Isㆍthatㆍhsdf,Necromancer,97,3490198588,Dead
21,Shortyrose,Rosehwyyes,Occultist,97,3484825592,Dead
22,TwoHarbors,Himekore,Berserker,97,3484476856,
23,awave,UsainColdtRhoaHunter,Trickster,97,3481987303,Dead
24,BloodySnapper,mygfcallsmepeggy,Inquisitor,97,3467108942,Dead
25,top1,QWEQEWADASFDSF,Occultist,97,3455453448,
26,The_Gillotine,GillCrush,Gladiator,97,3450765523,Dead
27,playagain,EndlessDigDugDig,Slayer,97,3434449917,Dead
28,disced,Disced___,Occultist,97,3430956256,
29,Sono,Izzidarkness,Champion,97,3419512387,Dead
30,byemylover520,CJ_Delver,Guardian,97,3409561119,
31,Mosh47,MoshBestSlayerEverLived,Slayer,97,3408246141,Dead
32,alefa88,Alefadiesalot,Pathfinder,97,3398256900,Dead
33,Stynka,StinkyDelver,Occultist,97,3388632743,Dead
34,pillebrille,pille_DIEStoDARK_DC,Occultist,97,3379462183,Dead
35,Akiobird,RhiㆍTink,Elementalist,97,3372013577,Dead
36,Hitsuyagaa,CrawlingBottomHitsu,Champion,97,3371210011,Dead
37,sgoggles,SgoggleAsTheRushComes,Necromancer,97,3369961330,
38,mileycyrus143,COSTCOBOBA,Trickster,97,3368536057,Dead
39,Test521,FieryCOCofKhazadDûm,Inquisitor,97,3367558041,Dead
40,redemption99,PenultHCDelver,Occultist,97,3366774068,Dead
41,kpp170,taro_gogogogo,Ascendant,97,3364828162,Dead
42,nEHcuOHep,nEHcuqChampaignSkip,Occultist,97,3364828162,Dead
43,MemoryBoy,ShamelessDemiAttempt,Deadeye,97,3364828162,Dead
44,Mikka29085,MikkaTakeTwo,Saboteur,97,3364828162,Dead
45,Lazei,JCTLDTKRKLPFBFCDLKJJUQW,Necromancer,97,3364828162,Dead
46,kannker,glasoegeijd,Gladiator,96,3341747623,
47,Rhaegar99,meatballs_diggydig,Necromancer,96,3331211950,Dead
48,marvyu,WheelchairApe,Assassin,96,3321649533,
49,Modz,FirstTryChad,Guardian,96,3320443248,
50,CARNDARAK,cArnOUTOFQUEUEYAY,Champion,96,3310343105,Dead
51,Hatq,NotSrslyDelve,Slayer,96,3309806302,Dead
52,김겨울,WINTERisSCARYtoGOtoVOID,Necromancer,96,3293364243,Dead
53,kreation00,White_America,Inquisitor,96,3291233985,Dead
54,sanchezpoe,KZNACHITKING,Champion,96,3290679677,
55,Chainluck,ChainTryMore,Gladiator,96,3287343687,Dead
56,Bazz_,Bazz_Forever_Young,Juggernaut,96,3286835537,Dead
57,Jimpa,UsoppelingDig,Elementalist,96,3286780593,Dead
58,jeysen,toutrondvraimenttoutcon,Slayer,96,3284138403,Dead
59,MarcelloMagaroni,OldmanDelve,Guardian,96,3278859049,Dead
60,cocotheone,Cocotheone_Try_to_win,Necromancer,96,3278740634,Dead
61,gGrimace,_Endless_rips_,Occultist,96,3276695423,Dead
62,Kunagi_JP,Kunagi_AAA,Necromancer,96,3276279345,Dead
63,ThePhiox,PhioxDelveEnjoyer,Occultist,96,3275198580,Dead
64,s3pulba,CasualDelving,Raider,96,3273873338,Dead
65,Zeddor,MrGroff,Inquisitor,96,3268537197,
66,helkenfps,helkenGrandmaster,Occultist,96,3268242511,Dead
67,stero2d,스테일호기_글래디,Gladiator,96,3263531390,Dead
68,azcryte,AzcryteD,Saboteur,96,3254864165,Dead
69,VaniSect,Shadow_Endless_Neck_,Inquisitor,96,3245379363,Dead
70,Vunecis,RF_Krydd_Gaming,Inquisitor,96,3243297098,Dead
71,luckyjam0503,qweqwrqwrgg,Occultist,96,3239862361,Dead
72,dodoling,dodocuga,Pathfinder,96,3237891589,Dead
73,top1,DASFSDFQWEWQEQ,Gladiator,96,3235973983,Dead
74,Marciello,DgksdtgcdG,Gladiator,96,3235389942,
75,mtv_skepeer,SkeepeeerThienlao,Occultist,96,3234138846,
76,timyyy,RazDCHCSamoUBulju,Ascendant,96,3234069572,Dead
77,RoyalAssassin,DetonateTedd,Juggernaut,96,3233389839,Dead
78,Dent94,DentGoneMad,Chieftain,96,3231185032,Dead
79,Vivisector,ed_desolate_trasps,Saboteur,96,3229428263,Dead
80,Tdogg555,Tdogg_Digging,Necromancer,96,3228396260,Dead
