Rank,Account,Character,Class,Level,Experience,Dead
1,ryzenier,RyzenierㆍWㆍ,Gladiator,100,4250334444,
2,LivedMan,AWXUIRIHNAIXUHR,Necromancer,100,4250334444,
3,Backtostyx,BackToThrowingSomeTraps,Saboteur,100,4250334444,
4,0000,Isenlin,Ascendant,100,4250334444,
5,khor658,KhorOpensChests,Ascendant,100,4250334444,
6,Chiblue,Chiblue_TheClown,Inquisitor,100,4250334444,
7,niakretsed,DesterMoarDoors,Gladiator,100,4250334444,
8,Terrifico,heistisrlyrlybad,Inquisitor,100,4250334444,
9,awave,RriskbreakerR,Gladiator,99,4057151442,
10,evaa01,Eulaae,Necromancer,99,4013330866,
11,aBlueTurtle,OldManDedNowHawtGrill,Necromancer,99,3977082023,
12,Interiorgrafics,Qmqngw,Pathfinder,99,3972385480,
13,PokemonTrainer,EspiaㆍPainArrive,Saboteur,99,3944831302,
14,Tdogg555,Tdogg_JustPlayWitch,Necromancer,99,3936700635,
15,Bazz_,Sㅇlㅇ,Juggernaut,99,3933782295,
16,김겨울,ㆍ김겨울ㆍ억까당한사람,Necromancer,99,3932818530,Dead
17,gghx,GoDeepNow,Saboteur,98,3893420264,Dead
18,Kohface,manaissuesbutitsfine,Pathfinder,98,3826599201,
19,Noalkain,Noalkain_Heist,Guardian,98,3822201904,
20,Noroichi,NoroHeistBlock,Gladiator,98,3819822771,
21,Wuxi,Wuxi_EndlessHuck,Inquisitor,98,3808158650,
22,theoryofipcus,Theory_STEAL,Hierophant,98,3798002946,
23,vcrasch,QUEEN_suzy,Inquisitor,98,3778694855,
24,velvuri,MonoRedMage,Berserker,98,3753977613,
25,_JVJ_,srjrtjtrurtutrjtjghe,Chieftain,98,3743565700,
26,Alzheimer1,DDWitcherino,Necromancer,98,3733269674,Dead
27,AppleSun,AppleSun_Heist,Saboteur,98,3714402248,
28,andolaur,kjhsdhkjshdjkh,Champion,98,3711593998,
29,Penkek,TwTvPenkek,Raider,98,3709791844,
30,Zephyia,WhyAmIPlayingdocLeave,Inquisitor,98,3701311585,
31,Hunterbarbies,YrtStel,Saboteur,98,3695454317,
32,Butchir,Sooshkin,Gladiator,98,3688839412,
33,Storunas,Shiaxu_EndlessPainChamp,Gladiator,98,3687089764,Dead
34,RagnarokAgent,RagnarokLegionCommander,Champion,98,3686396277,
35,GORDyyyyyyy,GDON_RF_HEIST_ONE,Inquisitor,98,3683834338,
36,NewSpiral,dontclose,Saboteur,98,3675636776,Dead
37,Mikka29085,MikkaGlorifiedPlague,Raider,98,3673551304,
38,misterchen,PowHeistBuffed,Pathfinder,98,3649817723,Dead
39,Subtractem,IWillThinkAboutThis,Raider,98,3640824731,
40,fdbug,ALTER_ChiyukiTHICCfigma,Juggernaut,98,3638747373,
41,Rinko,Rinko_Fuck_Heist,Guardian,98,3638491026,
42,RealLifePleb,plebdocArrive,Necromancer,98,3638456323,
43,Hadouken_HC,ёбаныйротдайтепобу,Gladiator,97,3605036200,Dead
44,Machetelol,NDLSSNOGASALLBRAKES,Elementalist,97,3594487275,
45,Nolol91,WhenReady_HEEEEEEEEEIST,Occultist,97,3543032842,
46,Abax11,RapedByFibertel,Raider,97,3495424047,
47,ChueanXion,HIRSIZ,Deadeye,97,3493331431,
48,da_mike,damikeHeistLOL,Saboteur,97,3471955245,
49,mayatta,Nemurii,Chieftain,97,3467992834,
50,madaraxgod,KarolinaKtoPrimudaLimya,Raider,97,3467821617,
51,Gulivergumba,Endless_Guli,Juggernaut,97,3456350425,
52,shashk0,AlexWrongLeagueAndClass,Deadeye,97,3431188069,
53,DerPimpvater,Der_Thrower,Occultist,97,3422723139,
54,Raegore,WesEndlessPainDemigod,Slayer,97,3418734264,
55,Miz4,MzEnheiChief,Chieftain,97,3415403098,
56,system_haxor,YceArriveHeistDocLeave,Ascendant,97,3415362589,
57,Traumasurvivor,mydeadeyediedcuzofsab,Chieftain,97,3414138116,
58,Ventustg,AManWithAChildInHisEyes,Berserker,97,3410911334,
59,felixhi,felixHeistB,Elementalist,97,3408776750,Dead
60,Deadbringer,ES_TryHarder,Chieftain,97,3400558974,Dead
61,MorboMorbonian,MorboNeverDies,Slayer,97,3372687852,
62,AllBor21,AllBor_Voided_Heist,Raider,97,3364828162,Dead
63,OnlySlightlyBent,TwntySecondCenturyDandy,Chieftain,97,3364828162,Dead
64,Dysmal,AbissㆍLastㆍTimeㆍCharm,Champion,96,3347059802,
65,DaBloxorz,Dat_Demi,Deadeye,96,3346207239,
66,ArtCrusade,MeSmartMeCastSpells,Chieftain,96,3337134787,Dead
67,Despize,RQ_BuffEXPdocArrive,Assassin,96,3316810220,
68,mrstrong,heist_fgdsglagdfskghfdl,Hierophant,96,3298273313,
69,tatsumaki_42,Tatsu_DemiTrapper,Assassin,96,3293954096,Dead
70,duckyee,duckwew,Champion,96,3284506731,
71,madaraxgod,muradxgod,Deadeye,96,3270007409,
72,NoliferMJ,MaryJaneHeist,Trickster,96,3269930016,
73,Gachimuchi_Eternal,VlaD_Slayer_GOD,Slayer,96,3269506206,
74,WinnerSinclair,IHaveNoLifex,Slayer,96,3259685085,
75,Valgyr,ValgyrEndless,Inquisitor,96,3254525454,Dead
76,tatsumaki_42,Tatsu_Chainanigans,Deadeye,96,3253759709,
77,habbey,OptiWhatIsChain,Juggernaut,96,3247130106,
78,snatat,Snatat_EndlessPainchamp,Pathfinder,96,3242501098,
79,zeratul_god,제라툴_갓,Berserker,96,3241792998,
80,Concheck,EndlessDocLeaving,Hierophant,96,3226091798,
81,Rinkish,xixixixixixixixixixixxi,Champion,96,3225536251,
82,zmai,ZmaiHeist,Guardian,96,3223801557,Dead
83,SpaniardPuss,Spaniard_RevertSlams,Slayer,96,3214304544,
84,phuocvietlienxo,HeistingJoeMama,Champion,96,3208210360,Dead
85,KoTao,KoTaoThief,Assassin,96,3204420263,
86,Skaav2,doorkickopa,Guardian,96,3203368842,
87,I_Am_Legion,finGerz_TheThief,Slayer,96,3194696499,Dead
88,먼지깽이,무한킹탈은생존만챙기면되는거아니냐고ㄹㅇㅋㅋ,Raider,96,3192086908,
89,HowRoLaXComesHere,RolaxHelixAgain,Champion,96,3189161059,
90,Sandcrawl_r,Number_One_Lightee_Simp,Gladiator,96,3175956644,
91,QuikandEZ,QuikandEZ_Heist_Mistake,Guardian,96,3170492267,
92,Arcisto,ArcistoHeist,Assassin,96,3169411225,Dead
93,Zolotl,Endless_Occy,Occultist,96,3162314864,
94,TheDireDream,EndlessPepegaPauseChamp,Berserker,96,3157195629,
95,Al.WakeUpCall,afsdfaxzczx,Elementalist,96,3140767157,
96,drunkndrivr,drunknPHASERUN,Pathfinder,96,3134136568,
97,goaga1,GoagaEndlessHeistA,Occultist,96,3132580705,
98,tellepyz737,rudolf_heist,Occultist,96,3128676793,
99,Tatiantel2,TatiVhatisDis,Hierophant,96,3127326568,
100,PolishImmigrant,ArmaGhad,Chieftain,96,3112238641,
101,CrackJudas,EndlessWokegeJudas,Trickster,95,3072205565,
102,pishuQ,DDshushushush,Deadeye,95,3061415846,
103,Hadouken_HC,бездарный_лох,Ascendant,95,3055161318,
104,BIIue,BueueKekkijutsu,Ascendant,95,3054251362,Dead
105,kmlck,ExpertDoorOpener,Berserker,95,3043545506,
106,victor654,Victor_Secretbuild,Trickster,95,3040542718,
107,불건전계정명49,야드랑이성애자_찐막,Trickster,95,3034589863,
108,CatWheep,EH_LazyKitten,Raider,95,3033267509,Dead
109,muzzaOCE,muzzdoorstwo,Elementalist,95,3026891931,
110,Bzizzlez,docArriveDOORS,Chieftain,95,3022907000,
111,tra5010,mega_hodor,Champion,95,3021016431,
112,cecisa,Reafly_RF,Trickster,95,3017745375,
113,ThePhiox,HeistGODPhiox,Occultist,95,3013731250,Dead
114,Griffinpoe,IHECKINLOVEDOORS,Occultist,95,3007240342,Dead
115,Gulivergumba,Guli_speed,Hierophant,95,2989226337,
116,FrostshockFTW,FrostReplicaDemi,Hierophant,95,2987898995,Dead
117,1BABEDI,TOTAUGELOL,Deadeye,95,2984285353,Dead
118,parsethis,ParseEndlessDoors,Guardian,95,2978009692,Dead
119,daebora,도둑둘,Elementalist,95,2977588691,
120,SteveAustin,ChaelㆍSonnenㆍFiveVsOne,Raider,95,2976664295,
121,Hans_Rudi,HansㆍPanzerknacker,Elementalist,95,2974705836,Dead
122,Hronmeer,Hronmeerㆍㆍㆍ,Berserker,95,2970025398,
123,TerminatorSAMF,CFHeister,Ascendant,95,2968903771,Dead
124,Jo11,NooDontMakeMePlayThis,Chieftain,95,2959390367,
125,ereality_person,Hard_DetonateMyAss,Chieftain,95,2949410882,Dead
126,AtomAdriboule,pHeinmci,Saboteur,95,2932883791,
127,Pillsbury_Doughboy,Whats_Taters,Chieftain,95,2919178530,Dead
128,Dale_Gribble,Admiral_DaleGrible,Necromancer,95,2917491417,
129,불량조립,추봉이도할수있따,Assassin,95,2915846799,
130,Biggy_Mode,BiggyModeLadnoSmazan,Ascendant,95,2915541686,Dead
131,Embodimenthor,BackToHeistBeach,Saboteur,95,2890281536,
132,koticgood,Moridin_EndlessHeist,Assassin,95,2888997085,Dead
133,muffinmasherz,AbsoThiefSquad,Guardian,95,2881507385,
134,nonstoptannr,Imgonnadieforsurelol,Ascendant,95,2876675870,
135,liipii6,clickingonanotherexilee,Inquisitor,95,2876658914,
136,NiamsteR,rwtjwrths,Saboteur,95,2876467422,
137,ALLKINDS,XEC,Juggernaut,95,2876379608,
138,NoFrom,NOCBTHISTIME,Occultist,95,2876116901,Dead
139,Wuxi,Wuxi_EndlessHype,Slayer,95,2876116901,Dead
140,btsJungkook,GOOOGOOOGAGA,Gladiator,94,2816493029,Dead
141,RagnarokAgent,RagnarokAshbringer,Chieftain,94,2793889424,Dead
142,Daylen,Daylen_onemore,Pathfinder,94,2783874181,Dead
143,SteveAustin,DyingInThisLeagueLOL,Gladiator,94,2780733617,Dead
144,Bellatrix93,LilLarry,Saboteur,94,2780459573,
145,Dysmal,AbissㆍWeㆍGoㆍAgane,Ascendant,94,2766738783,Dead
146,Phixpoe,PhixLol,Elementalist,94,2763711418,Dead
147,luhtrit,eradwfadfsadwf,Occultist,94,2713866107,Dead
148,d1Keey,CJIEEER,Champion,94,2709109395,Dead
149,The_Bucther,Frostbubble_HcSsf_Heist,Gladiator,94,2701040254,
150,beaktrots,asdguiphadguiahsdfgad,Berserker,94,2699768752,
151,Al.WakeUpCall,lkytufgbce,Elementalist,94,2696126079,Dead
152,casevil669,YouOnlyDoorOnce,Juggernaut,94,2688002443,Dead
153,cocotheone,Cocotheone_Win_or_DIE,Berserker,94,2685554888,Dead
154,methSifu,elkisacuckaswellone,Saboteur,94,2680055506,Dead
155,bumaia,Bumaia,Gladiator,94,2668308626,
156,ynck,LooooootOfHeist,Assassin,94,2658074992,Dead
157,MOSTPOSITIVEMAN,REVERTSUNDERPUNISHMENT,Berserker,93,2630218086,Dead
158,soze,SozePfer,Pathfinder,93,2630136344,
159,yrSempai,gdfhggfdghhgfhgdf,Elementalist,93,2623756472,Dead
160,SpiritKinay,SpiritHeist,Necromancer,93,2601506250,Dead
161,yrSempai,Last_dude_in_race,Necromancer,93,2598990666,Dead
162,dodoling,doordoorhama,Deadeye,93,2581333647,Dead
163,goaga1,GoagaEndlessHeistA,Deadeye,93,2569567807,Dead
164,drgoatphd,mariuolo,Guardian,93,2560247831,Dead
165,0000,Isenlyn,Ascendant,93,2547194154,Dead
166,RFeath,RF_rrr,Elementalist,93,2537337802,Dead
167,mrstrong,heist_gfdsdgfdsdgfgd,Hierophant,93,2534469948,Dead
168,불량조립,스테로이드땅땅,Ascendant,93,2526468290,Dead
169,rk528,Skraz,Raider,93,2525986315,Dead
170,Frozenqt,KrutimGrabim,Raider,93,2523965429,Dead
171,Koippa,Paksupoika,Juggernaut,93,2513260316,Dead
