Rank,Account,Character,Class,Level,Experience,Dead
1,zairina,zair_DICK_VAN_DYKE,Assassin,100,4250334444,
2,TheuberClips,UberRankOneOrRiot,Necromancer,100,4250334444,
3,Exif,Ethereal_KINO,Pathfinder,100,4250334444,
4,LivedMan,fghjbkghbn,Occultist,100,4250334444,
5,Exif,Debilitating_autism,Pathfinder,100,4250334444,
6,Reymea,Reymeaea,Ascendant,100,4250334444,
7,Steelmage,SteelmageSSF,Elementalist,100,4250334444,
8,Rockstopper,Elegye,Necromancer,100,4250334444,
9,KurokongoKarasu,KurokongoMisago,Ascendant,100,4250334444,
10,Neighthan,LargeVesselOfVinktar,Saboteur,100,4250334444,
11,VeVee,VvWhySSF,Juggernaut,100,4250334444,
12,LivedMan,perandus_turd,Necromancer,100,4250334444,
13,toitoi2009,Licantrophy,Chieftain,100,4250334444,
14,Sfp4,Armadyl_Godsword,Gladiator,100,4250334444,
15,rocklegend,Grom_WhyGodThreeCmWhy,Gladiator,100,4250334444,
16,Realyn,AnOrdinaryAbnormality,Necromancer,100,4250334444,
17,Realyn,ToTheHeartache,Hierophant,100,4250334444,
18,RaizQT,RaizNeverFirstQT,Necromancer,100,4250334444,
19,Realyn,SaveMeTragedy,Gladiator,100,4250334444,Dead
20,Tsar1,tsrssf,Slayer,100,4250334444,
21,nikoon,Nikona,Necromancer,100,4250334444,Dead
22,Cyba,Cyba,Raider,100,4250334444,
23,forthelulz123,AstolfoForever,Trickster,100,4250334444,
24,shirusen,ShiruHBSSF,Slayer,100,4250334444,
25,bannyan,RavenSRSnyang,Necromancer,100,4250334444,
26,homersx,homerSun_Shine,Necromancer,100,4250334444,
27,Exif,PISSSSSSSSSSSSSSSSS,Champion,100,4250334444,
28,Exif,RETARD_WILSON,Slayer,100,4250334444,
29,Karatecowboy,MATLAB_EEEEEEEEEEEEEEEE,Trickster,100,4250334444,
30,elgorzzz,ELG_DWSunder,Slayer,100,4250334444,
31,Exif,PISSSSSSSSSSSSSSSSSS,Champion,100,4250334444,
